work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Analyst,1300000,INR,15809,IN,100,IN,S
2022,MI,FT,Computer Vision Engineer,1250000,INR,15897,IN,100,IN,M
2021,MI,FT,Data Analyst,1250000,INR,16904,IN,50,IN,L
2021,MI,FT,Data Scientist,1250000,INR,16904,IN,100,IN,S
2021,EN,FT,Big Data Engineer,1200000,INR,16228,IN,100,IN,L
2023,EX,FT,Data Scientist,1050000,NOK,100416,NO,50,NO,S
2023,SE,FT,Data Science Consultant,1000000,THB,29301,TH,50,TH,M
2023,MI,FT,Data Analyst,866000,PHP,15680,PH,50,PH,L
2023,MI,FT,Data Scientist,840000,THB,24613,TH,50,TH,L
2024,MI,FT,AI Architect,800000,USD,800000,CA,100,CA,M
2023,SE,FT,Data Scientist,800000,NOK,76508,NO,50,NO,S
2024,EN,FT,Data Analyst,774000,USD,774000,MX,0,MX,M
2024,SE,FT,Analytics Engineer,750000,USD,750000,US,0,US,M
2024,MI,FT,Machine Learning Scientist,750000,USD,750000,US,0,US,M
2024,SE,FT,Data Analyst,750000,USD,750000,US,0,US,M
2024,MI,FT,Machine Learning Scientist,750000,USD,750000,US,0,US,M
2023,MI,FT,Machine Learning Scientist,750000,USD,750000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,750000,USD,750000,US,0,US,M
2023,MI,FT,Data Engineer,750000,USD,750000,US,0,US,M
2023,SE,FT,Data Scientist,750000,USD,750000,US,0,US,M
2024,MI,FT,Machine Learning Scientist,720000,USD,720000,US,0,US,M
2024,SE,FT,Data Scientist,720000,USD,720000,US,100,US,M
2024,MI,FT,Analytics Engineer,720000,USD,720000,US,0,US,M
2024,SE,FT,Analytics Engineer,720000,USD,720000,US,0,US,M
2024,SE,FT,Data Scientist,720000,USD,720000,US,0,US,M
2024,MI,FT,Research Engineer,720000,USD,720000,US,0,US,M
2024,MI,FT,Research Scientist,720000,USD,720000,US,0,US,M
2024,MI,FT,Research Engineer,720000,USD,720000,US,0,US,M
2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S
2023,SE,FT,Analytics Engineer,700000,USD,700000,US,100,US,M
2023,MI,FT,Analytics Engineer,700000,USD,700000,US,100,US,M
2023,MI,FT,Machine Learning Software Engineer,627000,ZAR,34482,ZA,50,ZA,L
2024,SE,FT,Research Scientist,600000,USD,600000,US,0,US,M
2024,SE,FT,Prompt Engineer,600000,USD,600000,US,0,US,M
2024,SE,FT,Research Engineer,600000,USD,600000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,550000,USD,550000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,550000,USD,550000,US,0,US,M
2024,MI,FT,ML Engineer,530000,USD,530000,US,0,US,M
2023,MI,FT,Data Scientist,510000,HKD,65058,HK,0,HK,L
2024,SE,FT,Research Scientist,500000,USD,500000,US,100,US,M
2024,SE,FT,Research Scientist,500000,USD,500000,US,100,US,M
2024,SE,FT,Research Scientist,484000,USD,484000,US,100,US,M
2023,EX,FT,Data Engineer,465000,USD,465000,US,0,US,M
2024,SE,FT,Research Engineer,450000,USD,450000,US,0,US,M
2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M
2024,SE,FT,AI Architect,449000,USD,449000,US,0,US,M
2024,EX,FT,Head of Machine Learning,448000,USD,448000,US,100,US,M
2024,MI,FT,Research Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Research Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,ML Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Research Engineer,440000,USD,440000,US,0,US,M
2024,SE,FT,Research Scientist,440000,USD,440000,US,0,US,M
2024,MI,FT,Research Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Research Scientist,440000,USD,440000,US,0,US,M
2024,SE,FT,Research Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Research Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Research Engineer,440000,USD,440000,US,0,US,M
2024,SE,FT,Research Scientist,440000,USD,440000,US,0,US,M
2024,SE,FT,Research Scientist,440000,USD,440000,US,0,US,M
2024,SE,FT,Research Scientist,440000,USD,440000,US,0,US,M
2024,SE,FT,Research Engineer,440000,USD,440000,US,0,US,M
2024,EX,FT,Head of Machine Learning,438000,USD,438000,US,0,US,M
2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
2024,SE,FT,Machine Learning Engineer,418000,USD,418000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,418000,USD,418000,US,100,US,M
2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S
2024,SE,FT,Machine Learning Engineer,414000,USD,414000,US,0,US,M
2024,SE,FT,Applied Scientist,414000,USD,414000,US,0,US,M
2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L
2023,SE,FT,Deep Learning Engineer,409500,CAD,303387,CA,100,CA,M
2024,EX,FT,Machine Learning Engineer,408500,USD,408500,US,0,US,M
2023,MI,FT,Research Scientist,405000,USD,405000,US,0,US,L
2022,SE,FT,Data Analytics Lead,405000,USD,405000,US,100,US,L
2024,SE,FT,Data Architect,400000,USD,400000,US,100,US,M
2024,MI,FT,AI Engineer,400000,USD,400000,US,0,US,M
2024,SE,FT,Data Analytics Lead,398900,USD,398900,US,0,US,M
2024,SE,FT,Data Analytics Lead,398900,USD,398900,US,0,US,M
2023,SE,FT,Machine Learning Engineer,392000,USD,392000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,386100,USD,386100,US,0,US,M
2024,MI,FT,Data Infrastructure Engineer,385000,USD,385000,US,0,US,M
2024,SE,FT,AI Engineer,385000,USD,385000,US,0,US,M
2024,SE,FT,Data Engineer,385000,USD,385000,US,0,US,M
2024,MI,FT,Data Scientist,385000,USD,385000,US,0,US,M
2023,EX,FT,Data Engineer,385000,USD,385000,US,0,US,M
2023,SE,FT,Data Engineer,385000,USD,385000,US,0,US,M
2023,SE,FT,Research Engineer,385000,USD,385000,US,0,US,M
2023,SE,FT,Data Engineer,385000,USD,385000,US,0,US,M
2023,SE,FT,Data Infrastructure Engineer,385000,USD,385000,US,0,US,M
2023,SE,FT,ML Engineer,385000,USD,385000,US,100,US,M
2023,SE,FT,Data Analyst,385000,USD,385000,US,0,US,M
2023,SE,FT,ML Engineer,383910,USD,383910,US,0,US,M
2024,SE,FT,Research Scientist,382320,USD,382320,US,0,US,M
2024,EX,FT,Data Science,381500,USD,381500,US,0,US,M
2024,SE,FT,Data Architect,381500,USD,381500,US,0,US,M
2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100,US,L
2023,SE,FT,Data Architect,376080,USD,376080,US,100,US,M
2023,EX,FT,Director of Data Science,375500,USD,375500,US,100,US,M
2022,SE,FT,Machine Learning Software Engineer,375000,USD,375000,US,100,US,M
2022,SE,FT,Data Science Tech Lead,375000,USD,375000,US,50,US,L
2023,SE,FT,Research Scientist,374000,USD,374000,US,0,US,M
2024,EX,FT,Head of Machine Learning,373000,USD,373000,US,100,US,M
2023,SE,FT,AI Engineer,372000,USD,372000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Data Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Data Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Data Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,ML Engineer,365630,USD,365630,US,0,US,M
2024,SE,FT,Machine Learning Engineer,365100,USD,365100,US,0,US,M
2024,SE,FT,Data Architect,363000,USD,363000,US,0,US,M
2024,SE,FT,Data Architect,363000,USD,363000,US,0,US,M
2024,SE,FT,Research Scientist,360000,USD,360000,US,0,US,M
2024,MI,FT,Research Engineer,360000,USD,360000,US,0,US,M
2023,SE,FT,AI Engineer,360000,USD,360000,US,0,US,M
2023,SE,FT,BI Analyst,360000,TRY,18381,TR,100,TR,L
2024,MI,FT,Research Scientist,359400,USD,359400,US,100,US,M
2024,MI,FT,Research Scientist,359400,USD,359400,US,100,US,M
2024,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Data Scientist,359170,USD,359170,US,0,US,M
2024,SE,FT,ML Engineer,357900,USD,357900,US,0,US,M
2023,SE,FT,Data Architect,354200,USD,354200,US,100,US,M
2023,EX,FT,Director of Data Science,353200,USD,353200,US,0,US,M
2023,EX,FT,Director of Data Science,353200,USD,353200,US,0,US,M
2023,SE,FT,Computer Vision Engineer,351000,USD,351000,US,0,US,M
2023,EN,FT,Research Engineer,350000,USD,350000,US,0,US,M
2023,EX,FT,Data Engineer,350000,USD,350000,US,100,US,M
2023,SE,FT,AI Engineer,350000,USD,350000,US,0,US,M
2023,SE,FT,Data Lead,350000,USD,350000,US,0,US,M
2023,MI,FT,Analytics Engineer,350000,GBP,430640,GB,0,GB,M
2023,SE,FT,Applied Scientist,350000,USD,350000,US,0,US,L
2022,MI,FT,Data Analyst,350000,GBP,430967,GB,0,GB,M
2022,SE,FT,Data Scientist,350000,USD,350000,US,100,US,M
2022,SE,FT,Data Architect,345600,USD,345600,US,0,US,M
2024,SE,FT,Analytics Engineer,345400,USD,345400,US,0,US,M
2024,SE,FT,Machine Learning Engineer,345400,USD,345400,US,0,US,M
2024,SE,FT,Machine Learning Engineer,345400,USD,345400,US,0,US,M
2024,SE,FT,Research Scientist,345000,USD,345000,US,0,US,M
2023,SE,FT,Research Scientist,345000,USD,345000,US,0,US,M
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M
2024,SE,FT,Data Analytics Lead,342400,USD,342400,US,0,US,M
2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,L
2024,SE,FT,Machine Learning Engineer,340000,USD,340000,US,0,US,M
2024,SE,FT,Research Scientist,340000,USD,340000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,340000,USD,340000,US,0,US,M
2023,MI,FT,Research Scientist,340000,USD,340000,US,100,US,M
2024,SE,FT,Research Engineer,339250,USD,339250,US,0,US,M
2024,SE,FT,Research Scientist,337300,USD,337300,US,0,US,M
2024,SE,FT,Research Scientist,337300,USD,337300,US,0,US,M
2024,SE,FT,Research Scientist,337300,USD,337300,US,0,US,M
2024,SE,FT,Research Scientist,337300,USD,337300,US,0,US,M
2023,EX,FT,Director of Data Science,336400,USD,336400,US,0,US,M
2023,SE,FT,ML Engineer,336300,USD,336300,US,0,US,M
2024,EX,FT,Data Engineer,334075,USD,334075,CA,0,CA,M
2024,SE,FT,Research Scientist,333500,USD,333500,US,0,US,M
2024,SE,FT,Machine Learning Engineer,333500,USD,333500,US,0,US,M
2024,SE,FT,Research Engineer,333500,USD,333500,US,0,US,M
2024,SE,FT,Research Engineer,333500,USD,333500,US,0,US,M
2023,SE,FT,Data Engineer,333500,USD,333500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,333500,USD,333500,US,0,US,M
2023,EX,FT,Data Engineer,333500,USD,333500,US,0,US,M
2024,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2024,SE,FT,Data Engineer,331640,USD,331640,US,0,US,M
2024,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2024,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,ML Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Deep Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Data Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Data Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Deep Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0,US,M
2024,SE,FT,Data Science,331292,USD,331292,US,0,US,M
2023,SE,FT,Machine Learning Engineer,330000,USD,330000,US,100,US,M
2023,EX,FT,Head of Machine Learning,330000,USD,330000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,330000,USD,330000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,330000,USD,330000,US,0,US,M
2023,SE,FT,AI Architect,330000,USD,330000,US,0,US,M
2023,SE,FT,AI Architect,330000,USD,330000,US,0,US,M
2023,SE,FT,AI Architect,330000,USD,330000,US,0,US,M
2023,SE,FT,AI Architect,330000,USD,330000,US,0,US,M
2023,EX,FT,Head of Data Science,330000,USD,330000,US,0,US,M
2023,SE,FT,Data Scientist,329700,USD,329700,US,0,US,M
2023,EX,FT,Head of Data,329500,USD,329500,US,100,US,M
2023,EX,FT,Head of Data,329500,USD,329500,US,100,US,M
2023,EX,FT,Head of Data,329500,USD,329500,US,0,US,M
2023,EX,FT,Head of Data,329500,USD,329500,US,0,US,M
2024,SE,FT,Analytics Engineer,329200,USD,329200,CA,100,CA,M
2023,SE,FT,Machine Learning Engineer,328400,USD,328400,US,100,US,M
2023,SE,FT,Machine Learning Engineer,328133,USD,328133,US,0,US,M
2024,MI,FT,Data Science Manager,328000,USD,328000,US,0,US,M
2023,SE,FT,Data Science Manager,328000,USD,328000,US,0,US,M
2024,EX,FT,Data Science,326000,USD,326000,US,100,US,M
2024,MI,FT,Data Analyst,325000,USD,325000,US,0,US,M
2023,SE,FT,Machine Learning Scientist,325000,USD,325000,US,100,US,M
2023,SE,FT,Analytics Engineering Manager,325000,GBP,399880,GB,50,GB,L
2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L
2024,SE,FT,Data Science,324100,USD,324100,US,0,US,L
2024,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Data Science,324000,USD,324000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,ML Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Data Scientist,324000,USD,324000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2023,SE,FT,ML Engineer,324000,USD,324000,US,0,US,M
2023,SE,FT,Data Scientist,324000,USD,324000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2022,EX,FT,Data Engineer,324000,USD,324000,US,100,US,M
2024,EX,FT,Data Science,323700,USD,323700,US,100,US,M
2024,SE,FT,Research Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Research Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Machine Learning Engineer,323300,USD,323300,US,0,US,M
2023,SE,FT,Machine Learning Engineer,323300,USD,323300,US,0,US,M
2023,SE,FT,Data Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Data Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Machine Learning Engineer,323300,USD,323300,US,0,US,M
2023,SE,FT,Data Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Data Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Research Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Machine Learning Engineer,323300,USD,323300,US,0,US,M
2024,SE,FT,Data Scientist,322000,USD,322000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,322000,USD,322000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,322000,USD,322000,US,100,US,M
2024,MI,FT,Data Product Owner,321830,USD,321830,US,0,US,M
2024,SE,FT,Research Scientist,321000,USD,321000,US,0,US,M
2024,SE,FT,Research Scientist,321000,USD,321000,US,100,US,M
2024,EX,FT,Business Intelligence,320000,USD,320000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,319000,USD,319000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,319000,USD,319000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M
2023,SE,FT,Machine Learning Engineer,317070,USD,317070,US,0,US,M
2023,SE,FT,Data Scientist,317070,USD,317070,US,0,US,M
2024,SE,FT,AI Architect,317000,USD,317000,US,0,US,M
2024,SE,FT,Data Engineer,316900,USD,316900,US,0,US,M
2023,SE,FT,Data Scientist,316000,USD,316000,US,0,US,M
2023,SE,FT,Data Scientist,316000,USD,316000,US,0,US,M
2023,SE,FT,Data Scientist,316000,USD,316000,US,0,US,M
2023,SE,FT,ML Engineer,315850,USD,315850,US,0,US,M
2023,SE,FT,ML Engineer,315850,USD,315850,US,0,US,M
2023,SE,FT,Machine Learning Engineer,315300,USD,315300,US,100,US,M
2024,SE,FT,Machine Learning Engineer,315000,USD,315000,US,100,US,M
2022,SE,FT,Data Engineer,315000,USD,315000,US,100,US,M
2024,SE,FT,Data Scientist,314100,USD,314100,US,0,US,M
2023,EX,FT,Head of Data Science,314100,USD,314100,US,0,US,M
2024,EX,FT,Data Engineer,314000,USD,314000,CA,100,CA,M
2024,SE,FT,Data Engineer,313000,USD,313000,US,100,US,M
2024,SE,FT,Data Engineer,313000,USD,313000,US,100,US,M
2024,EX,FT,Data Engineer,312287,USD,312287,US,0,US,M
2023,SE,FT,Machine Learning Engineer,311000,USD,311000,US,0,US,M
2024,SE,FT,Data Scientist,310270,USD,310270,US,0,US,M
2023,SE,FT,Data Scientist,310270,USD,310270,US,0,US,M
2023,SE,FT,Data Scientist,310270,USD,310270,US,0,US,M
2023,SE,FT,Data Scientist,310270,USD,310270,US,0,US,M
2023,SE,FT,Data Scientist,310270,USD,310270,US,0,US,M
2023,SE,FT,Data Scientist,310270,USD,310270,US,0,US,M
2024,SE,FT,Machine Learning Engineer,310000,USD,310000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,310000,USD,310000,US,0,US,M
2024,SE,FT,AI Engineer,310000,USD,310000,US,0,US,M
2024,SE,FT,Research Engineer,310000,USD,310000,US,0,US,M
2024,MI,FT,Data Scientist,310000,USD,310000,US,0,US,M
2023,MI,FT,Data Scientist,310000,USD,310000,US,0,US,M
2023,SE,FT,Data Architect,310000,USD,310000,US,100,US,M
2023,SE,FT,Research Engineer,310000,USD,310000,US,0,US,M
2023,SE,FT,Data Engineer,310000,USD,310000,US,0,US,M
2023,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
2023,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
2023,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
2023,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
2023,SE,FT,Data Engineer,310000,USD,310000,US,0,US,M
2022,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
2022,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L
2024,SE,FT,Machine Learning Engineer,309000,USD,309000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,309000,USD,309000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,309000,USD,309000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,309000,USD,309000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,309000,USD,309000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,309000,USD,309000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,309000,USD,309000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,309000,USD,309000,US,0,US,M
2024,MI,FT,Data Engineer,308000,USD,308000,US,0,US,M
2023,SE,FT,Research Engineer,308000,USD,308000,US,0,US,M
2023,SE,FT,Data Scientist,308000,USD,308000,US,0,US,M
2023,SE,FT,Data Scientist,308000,USD,308000,US,0,US,M
2023,SE,FT,Research Engineer,308000,USD,308000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,307100,USD,307100,US,100,US,M
2023,SE,FT,Data Scientist,307100,USD,307100,US,0,US,M
2023,SE,FT,Machine Learning Engineer,306400,USD,306400,CA,0,CA,M
2023,SE,FT,Data Architect,306000,USD,306000,US,100,US,M
2023,SE,FT,Research Engineer,306000,USD,306000,US,0,US,M
2023,SE,FT,Data Architect,306000,USD,306000,US,100,US,M
2023,SE,FT,Data Architect,306000,USD,306000,US,100,US,M
2023,SE,FT,Data Architect,306000,USD,306000,US,100,US,M
2023,SE,FT,Data Scientist,305600,USD,305600,US,0,US,M
2023,SE,FT,Machine Learning Engineer,305600,USD,305600,US,0,US,M
2023,SE,FT,Machine Learning Engineer,305600,USD,305600,US,0,US,M
2023,SE,FT,Data Scientist,305600,USD,305600,US,0,US,M
2023,SE,FT,AI Architect,305100,USD,305100,US,100,US,M
2023,SE,FT,ML Engineer,305000,USD,305000,US,0,US,M
2023,SE,FT,Data Engineer,305000,USD,305000,US,100,US,M
2024,SE,FT,Data Engineer,304750,USD,304750,US,0,US,M
2024,SE,FT,Machine Learning Engineer,304750,USD,304750,US,0,US,M
2023,SE,FT,Data Engineer,304750,USD,304750,US,0,US,M
